,alexnet,vgg16,resnet152
shuffle_quad_rand,56.000004,79.3,85.8
rotate15,73.600006,88.100006,92.700005
shear_0.5_0,59.100002,80.50001,87.200005
shear_0_0.5,48.7,75.700005,84.4
shuffle_quad,36.4,68.0,78.700005
vert_shift_0.5,51.7,81.100006,89.100006
vert_shift_0.25,67.9,85.4,90.9
rotate45,52.100002,78.200005,86.4
rotate5,79.4,91.00001,93.8
randRotate_1_45,68.4,86.4,91.3
hsv_m30_0_0,65.0,85.700005,90.50001
hsv_120_0_0,44.9,73.8,85.50001
randRotate_1_10,78.100006,90.100006,93.8
randRotate_1_20,76.4,89.50001,93.700005
invert,29.000002,47.4,63.200005
hsv_0_m20_0,79.5,90.50001,94.00001
hsv_60_0_0,47.100002,77.600006,87.9
randRotate_10_20,74.0,88.200005,92.8
hsv_180_0_0,74.700005,90.50001,93.00001
hsv_30_0_0,55.4,78.3,87.600006
cb_2_0,66.8,84.50001,90.100006
cb_0.5_m50,34.800003,60.500004,71.600006
horz_shift_0.25,72.700005,87.700005,92.100006
horz_shift_0.5,60.300003,80.0,86.4
cb_0.5_50,73.8,89.00001,92.700005
hsv_0_0_20,79.5,90.4,94.00001
hsv_0_20_0,78.700005,91.100006,93.9
cb_2_m50,69.200005,86.3,90.600006
cb_2_50,56.700005,76.600006,86.00001
hsv_0_0_m20,78.0,90.00001,93.8
bilateralFilter_5_75_75,78.100006,90.3,93.50001
AGthreshold,4.3,9.1,15.700001
bilateralFilter_9_150_150,71.8,85.00001,91.50001
blur5,76.100006,88.9,92.8
bilateralFilter_9_75_75,75.200005,86.9,92.9
blur3,78.5,90.200005,93.3
